"row" "ID" "yr" "cm" "annualprec" "summerpdsi" "wintertemp"
"1" 290 1998 4 1.765 -0.795 5.63333333333333
"2" 290 2002 4.4 1.8056 -1.055 5.4
"3" 290 2004 4.8 1.8532 -0.795 5.1
"4" 290 2006 5.1 1.4533 -2.0425 5.66666666666667
"5" 290 2008 5.3 1.5392 -2.47 4.83333333333333
"6" 290 2010 5.2 1.4914 -1.5675 2.03333333333333
"7" 290 2011 5.1 2.0694 -0.3875 5.13333333333333
"8" 641 1998 48.3 1.765 -0.795 5.63333333333333
"9" 641 2002 48.8 1.8056 -1.055 5.4
"10" 641 2004 49.5 1.8532 -0.795 5.1
"11" 641 2006 50 1.4533 -2.0425 5.66666666666667
"12" 641 2008 50.3 1.5392 -2.47 4.83333333333333
"13" 641 2010 50.5 1.4914 -1.5675 2.03333333333333
"14" 641 2011 50.7 2.0694 -0.3875 5.13333333333333
"15" 12 1998 0.8 1.765 -0.795 5.63333333333333
"16" 12 2002 1.6 1.8056 -1.055 5.4
"17" 12 2004 1.3 1.8532 -0.795 5.1
"18" 12 2006 1.4 1.4533 -2.0425 5.66666666666667
"19" 12 2008 1.4 1.5392 -2.47 4.83333333333333
"20" 12 2010 1.3 1.4914 -1.5675 2.03333333333333
"21" 12 2011 1.3 2.0694 -0.3875 5.13333333333333
"22" 1120 2007 1.1 1.2303 -2.835 5.86666666666667
"23" 1120 2008 1.1 1.5392 -2.47 4.83333333333333
"24" 1120 2010 1.4 1.4914 -1.5675 2.03333333333333
"25" 1120 2011 1.3 2.0694 -0.3875 5.13333333333333
"26" 503 1998 8.8 1.765 -0.795 5.63333333333333
"27" 503 2002 9.1 1.8056 -1.055 5.4
"28" 503 2004 9.1 1.8532 -0.795 5.1
"29" 503 2006 9.1 1.4533 -2.0425 5.66666666666667
"30" 503 2008 8.8 1.5392 -2.47 4.83333333333333
"31" 503 2010 9.3 1.4914 -1.5675 2.03333333333333
"32" 503 2011 9.3 2.0694 -0.3875 5.13333333333333
"33" 735 1998 39.8 1.765 -0.795 5.63333333333333
"34" 735 2002 40.4 1.8056 -1.055 5.4
"35" 735 2004 40.4 1.8532 -0.795 5.1
"36" 735 2006 40.5 1.4533 -2.0425 5.66666666666667
"37" 735 2008 40.6 1.5392 -2.47 4.83333333333333
"38" 735 2010 40.9 1.4914 -1.5675 2.03333333333333
"39" 735 2011 40.9 2.0694 -0.3875 5.13333333333333
"40" 639 1998 13.5 1.765 -0.795 5.63333333333333
"41" 639 2002 14.2 1.8056 -1.055 5.4
"42" 639 2004 14.3 1.8532 -0.795 5.1
"43" 639 2006 15.1 1.4533 -2.0425 5.66666666666667
"44" 639 2008 15.6 1.5392 -2.47 4.83333333333333
"45" 639 2010 16 1.4914 -1.5675 2.03333333333333
"46" 639 2011 16.4 2.0694 -0.3875 5.13333333333333
"47" 732 1998 40.7 1.765 -0.795 5.63333333333333
"48" 732 2002 41.8 1.8056 -1.055 5.4
"49" 732 2004 42.5 1.8532 -0.795 5.1
"50" 732 2006 43 1.4533 -2.0425 5.66666666666667
"51" 732 2008 43.6 1.5392 -2.47 4.83333333333333
"52" 732 2010 44.7 1.4914 -1.5675 2.03333333333333
"53" 732 2011 45.2 2.0694 -0.3875 5.13333333333333
"54" 11 1998 2.2 1.765 -0.795 5.63333333333333
"55" 11 2002 2.5 1.8056 -1.055 5.4
"56" 11 2004 2.2 1.8532 -0.795 5.1
"57" 11 2006 2.3 1.4533 -2.0425 5.66666666666667
"58" 11 2008 2.3 1.5392 -2.47 4.83333333333333
"59" 11 2010 2.1 1.4914 -1.5675 2.03333333333333
"60" 912 1998 17.7 1.765 -0.795 5.63333333333333
"61" 912 2002 17.5 1.8056 -1.055 5.4
"62" 912 2004 18.7 1.8532 -0.795 5.1
"63" 912 2006 19.2 1.4533 -2.0425 5.66666666666667
"64" 912 2008 19.6 1.5392 -2.47 4.83333333333333
"65" 912 2010 20.4 1.4914 -1.5675 2.03333333333333
"66" 912 2011 20.5 2.0694 -0.3875 5.13333333333333
"67" 907 1998 2.3 1.765 -0.795 5.63333333333333
"68" 907 2002 2.8 1.8056 -1.055 5.4
"69" 907 2004 3.2 1.8532 -0.795 5.1
"70" 907 2006 3.2 1.4533 -2.0425 5.66666666666667
"71" 907 2008 4 1.5392 -2.47 4.83333333333333
"72" 907 2010 4.5 1.4914 -1.5675 2.03333333333333
"73" 907 2011 4.5 2.0694 -0.3875 5.13333333333333
"74" 504 1998 41.8 1.765 -0.795 5.63333333333333
"75" 504 2002 43.6 1.8056 -1.055 5.4
"76" 504 2004 44.5 1.8532 -0.795 5.1
"77" 504 2006 45.6 1.4533 -2.0425 5.66666666666667
"78" 504 2008 46.9 1.5392 -2.47 4.83333333333333
"79" 504 2010 47.8 1.4914 -1.5675 2.03333333333333
"80" 504 2011 48.8 2.0694 -0.3875 5.13333333333333
"81" 733 1998 11.9 1.765 -0.795 5.63333333333333
"82" 733 2002 13.1 1.8056 -1.055 5.4
"83" 733 2004 14.3 1.8532 -0.795 5.1
"84" 733 2006 15.5 1.4533 -2.0425 5.66666666666667
"85" 733 2008 16.2 1.5392 -2.47 4.83333333333333
"86" 733 2010 16.3 1.4914 -1.5675 2.03333333333333
"87" 733 2011 16.3 2.0694 -0.3875 5.13333333333333
"88" 903 1998 27.6 1.765 -0.795 5.63333333333333
"89" 903 2002 25.1 1.8056 -1.055 5.4
"90" 903 2004 28.4 1.8532 -0.795 5.1
"91" 903 2006 28.6 1.4533 -2.0425 5.66666666666667
"92" 903 2008 29.1 1.5392 -2.47 4.83333333333333
"93" 903 2010 29.4 1.4914 -1.5675 2.03333333333333
"94" 903 2011 29.6 2.0694 -0.3875 5.13333333333333
"95" 963 1998 46.5 1.765 -0.795 5.63333333333333
"96" 963 2002 46.4 1.8056 -1.055 5.4
"97" 963 2004 45.9 1.8532 -0.795 5.1
"98" 963 2010 46.1 1.4914 -1.5675 2.03333333333333
"99" 963 2011 44.9 2.0694 -0.3875 5.13333333333333
"100" 506 1998 31.5 1.765 -0.795 5.63333333333333
"101" 506 2002 31.8 1.8056 -1.055 5.4
"102" 506 2004 32 1.8532 -0.795 5.1
"103" 506 2006 32.3 1.4533 -2.0425 5.66666666666667
"104" 506 2008 32.5 1.5392 -2.47 4.83333333333333
"105" 506 2010 32.4 1.4914 -1.5675 2.03333333333333
"106" 506 2011 32.5 2.0694 -0.3875 5.13333333333333
"107" 14 1998 16.4 1.765 -0.795 5.63333333333333
"108" 14 2002 19.7 1.8056 -1.055 5.4
"109" 14 2004 21.4 1.8532 -0.795 5.1
"110" 14 2006 22.9 1.4533 -2.0425 5.66666666666667
"111" 14 2008 24 1.5392 -2.47 4.83333333333333
"112" 14 2010 24.3 1.4914 -1.5675 2.03333333333333
"113" 14 2011 24.3 2.0694 -0.3875 5.13333333333333
"114" 505 1998 2.4 1.765 -0.795 5.63333333333333
"115" 505 2002 2.5 1.8056 -1.055 5.4
"116" 505 2004 2.4 1.8532 -0.795 5.1
"117" 505 2006 2.4 1.4533 -2.0425 5.66666666666667
"118" 505 2008 2.4 1.5392 -2.47 4.83333333333333
"119" 505 2010 2.4 1.4914 -1.5675 2.03333333333333
"120" 505 2011 2.4 2.0694 -0.3875 5.13333333333333
"121" 701 1998 6.1 1.765 -0.795 5.63333333333333
"122" 701 2002 6.3 1.8056 -1.055 5.4
"123" 701 2004 7.1 1.8532 -0.795 5.1
"124" 701 2006 7.3 1.4533 -2.0425 5.66666666666667
"125" 701 2008 5.4 1.5392 -2.47 4.83333333333333
"126" 701 2010 5.2 1.4914 -1.5675 2.03333333333333
"127" 701 2011 5.3 2.0694 -0.3875 5.13333333333333
"128" 644 1998 23.5 1.765 -0.795 5.63333333333333
"129" 644 2002 23.9 1.8056 -1.055 5.4
"130" 644 2004 24.6 1.8532 -0.795 5.1
"131" 644 2006 25.3 1.4533 -2.0425 5.66666666666667
"132" 644 2008 25.5 1.5392 -2.47 4.83333333333333
"133" 644 2010 26 1.4914 -1.5675 2.03333333333333
"134" 644 2011 26.3 2.0694 -0.3875 5.13333333333333
"135" 905 1998 2.3 1.765 -0.795 5.63333333333333
"136" 905 2002 2.5 1.8056 -1.055 5.4
"137" 905 2004 2.4 1.8532 -0.795 5.1
"138" 905 2006 2.4 1.4533 -2.0425 5.66666666666667
"139" 905 2008 2.5 1.5392 -2.47 4.83333333333333
"140" 960 1998 5.9 1.765 -0.795 5.63333333333333
"141" 960 2002 5.9 1.8056 -1.055 5.4
"142" 960 2004 6.1 1.8532 -0.795 5.1
"143" 960 2006 6.2 1.4533 -2.0425 5.66666666666667
"144" 960 2008 6.2 1.5392 -2.47 4.83333333333333
"145" 960 2010 6.2 1.4914 -1.5675 2.03333333333333
